CustServCalls,RoamMins,Recommendations,DataUsage,MonthlyCharge,Churn_Probability,Churn_Signals,AccountWeeks,DayCalls
3,9.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.38,32.8,0.0452742679935816,low_tenure: New or short-tenure customer,160,77
1,3.5,No action needed,0.24,48.4,0.014988646342472,None detected,64,67
2,8.5,No action needed,2.3,62.0,0.0356586145421179,None detected,59,97
3,13.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,50.0,0.0073870858874354,low_tenure: New or short-tenure customer,65,120
2,7.4,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.35,47.5,0.0204442709407979,low_tenure: New or short-tenure customer,142,133
5,8.8,No action needed,0.0,47.0,0.6432530395180853,None detected,119,114
1,11.0,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.97,71.7,0.021731955733215,high_cost: High charges in MonthlyCharge,97,135
3,7.8,No action needed,0.32,59.2,0.0221757884560237,None detected,52,108
1,6.8,No action needed,0.0,56.0,0.0546100908577434,None detected,60,57
2,11.4,No action needed,0.0,48.0,0.0113421956402443,None detected,10,112
2,9.3,No action needed,0.21,52.1,0.0216240428578005,None detected,96,117
5,9.7,[HIGH] Immediate attention required - high churn risk; [HIGH] Schedule proactive customer outreach,0.0,45.0,0.8260056461505677,high_churn_probability: Model predicts high likelihood of churn,87,83
1,10.2,No action needed,0.11,53.1,0.0159754618401301,None detected,81,67
1,8.0,No action needed,0.0,37.0,0.0437127248759762,None detected,141,98
3,5.8,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,1.57,56.7,0.1048848637753587,low_tenure: New or short-tenure customer,121,129
3,12.1,No action needed,0.0,47.0,0.0170743996939949,None detected,68,70
1,12.0,No action needed,0.0,55.0,0.0263870288569516,None detected,125,103
1,11.4,No action needed,0.0,48.0,0.0104101408499539,None detected,174,97
2,11.6,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.13,92.3,0.021055649584172,high_cost: High charges in MonthlyCharge,116,83
2,14.6,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.94,93.4,0.0189175914034641,high_cost: High charges in MonthlyCharge,74,91
3,12.6,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.4,81.0,0.0124161707715723,high_cost: High charges in MonthlyCharge,149,92
2,8.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,37.0,0.0136596514900569,low_tenure: New or short-tenure customer,38,98
2,6.2,No action needed,1.67,56.7,0.0177431193163001,None detected,40,74
0,9.3,No action needed,0.0,61.0,0.2729239269491154,None detected,43,105
0,8.3,No action needed,0.0,39.0,0.1216496786830657,None detected,113,93
1,7.8,No action needed,0.0,55.0,0.0127214248543218,None detected,126,70
4,13.8,No action needed,0.0,45.0,0.6290989691672899,None detected,150,101
3,11.8,No action needed,0.0,56.0,0.0243197701809617,None detected,138,93
0,12.1,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.27,87.7,0.0422588113237841,high_cost: High charges in MonthlyCharge,162,97
3,8.0,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,55.0,0.0342505246336918,low_tenure: New or short-tenure customer,147,83
1,7.3,No action needed,0.0,54.0,0.0679008496902661,None detected,90,146
0,12.0,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,54.0,0.0349501023024902,low_tenure: New or short-tenure customer,85,109
1,6.1,No action needed,0.0,46.0,0.0103520165721124,None detected,50,90
0,11.7,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities,0.21,69.1,0.9379047619047618,high_churn_probability: Model predicts high likelihood of churn; high_cost: High charges in MonthlyCharge,82,109
4,8.2,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [HIGH] Assign dedicated onboarding support,0.21,20.1,0.9915714285714284,high_churn_probability: Model predicts high likelihood of churn; low_tenure: New or short-tenure customer,144,117
2,8.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.26,53.6,0.0083545639391719,low_tenure: New or short-tenure customer,46,72
1,15.0,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.3,46.0,0.0079678503780509,low_tenure: New or short-tenure customer,70,98
1,13.2,No action needed,0.0,60.0,0.0185318551910939,None detected,144,99
3,12.6,No action needed,0.3,58.0,0.1196195281010271,None detected,116,104
3,11.0,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,2.97,69.7,0.0136188196269839,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,55,123
1,9.8,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.65,91.5,0.0229396656154265,high_cost: High charges in MonthlyCharge,70,101
2,12.4,No action needed,0.0,57.0,0.0327106907912615,None detected,106,96
0,8.6,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.32,73.2,0.0137870267733297,high_cost: High charges in MonthlyCharge,128,104
4,8.0,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [HIGH] Assign dedicated onboarding support,0.0,41.0,0.9530393364307538,high_churn_probability: Model predicts high likelihood of churn; low_tenure: New or short-tenure customer,94,105
1,12.0,No action needed,0.0,55.0,0.0252523629016653,None detected,111,118
2,10.9,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,2.94,66.4,0.0102929533388922,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,74,104
1,13.9,No action needed,0.0,62.0,0.6158778321400237,None detected,128,125
1,11.1,No action needed,0.17,43.7,0.0240817014248799,None detected,82,61
0,8.9,No action needed,0.0,51.0,0.0785273867300201,None detected,155,100
1,7.9,No action needed,0.0,36.0,0.0561788207653163,None detected,80,100
3,9.5,No action needed,0.0,59.0,0.0314426650473365,None detected,78,93
3,10.6,No action needed,0.0,47.0,0.011803206096726,None detected,90,71
1,9.8,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.3,58.0,0.0753647962367953,low_tenure: New or short-tenure customer,104,106
0,13.0,No action needed,0.0,46.0,0.0209803595574455,None detected,73,110
4,8.7,No action needed,0.0,52.0,0.0197474765526659,None detected,99,87
1,5.3,No action needed,0.0,54.0,0.0219648125517609,None detected,120,131
2,9.8,No action needed,0.0,61.0,0.4175925765166385,None detected,77,72
4,4.4,No action needed,1.19,60.9,0.1734153578884039,None detected,98,114
0,14.6,No action needed,0.34,50.4,0.0234630077693646,None detected,108,137
0,10.5,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,36.0,0.0155518536776284,low_tenure: New or short-tenure customer,135,82
1,12.5,No action needed,0.0,39.0,0.0203643736547936,None detected,95,99
1,11.3,No action needed,0.39,47.9,0.0071843374244235,None detected,122,94
4,11.8,No action needed,0.0,57.0,0.0528189490696951,None detected,95,65
2,9.0,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.43,90.3,0.021021059307951,high_cost: High charges in MonthlyCharge,36,102
1,9.8,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,2.65,61.5,0.0818994589816408,low_tenure: New or short-tenure customer,93,131
1,10.1,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,2.73,64.3,0.0145383705246404,low_tenure: New or short-tenure customer,141,91
3,9.6,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,52.0,0.0184744511451174,low_tenure: New or short-tenure customer,157,90
1,8.3,No action needed,0.0,56.0,0.054184720669219,None detected,120,100
2,12.6,No action needed,0.0,51.0,0.0156812380910436,None detected,103,117
4,12.1,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach,0.0,44.0,0.8827860805702049,high_churn_probability: Model predicts high likelihood of churn,98,117
1,13.3,No action needed,0.0,40.0,0.0242251440876688,None detected,125,108
1,9.4,No action needed,0.0,25.0,0.0159115285544693,None detected,63,125
0,20.0,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities,5.4,110.0,0.9405,high_churn_probability: Model predicts high likelihood of churn; high_cost: High charges in MonthlyCharge,36,89
1,14.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.29,43.9,0.0180300449172641,low_tenure: New or short-tenure customer,64,83
1,9.4,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities,0.21,69.1,0.96425,high_churn_probability: Model predicts high likelihood of churn; high_cost: High charges in MonthlyCharge,74,114
2,10.0,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,2.7,60.0,0.0538873350012922,low_tenure: New or short-tenure customer,112,117
2,8.7,No action needed,0.0,60.0,0.0631648419359579,None detected,97,125
1,13.1,No action needed,0.21,58.1,0.0146257857908367,None detected,46,92
0,7.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,1.94,68.4,0.0182247362105823,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,41,102
3,9.8,No action needed,0.0,49.0,0.0122808066970751,None detected,121,103
1,11.6,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,41.0,0.0110970672139603,low_tenure: New or short-tenure customer,193,124
2,9.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,36.0,0.0242105164677535,low_tenure: New or short-tenure customer,130,119
1,12.0,No action needed,0.4,58.0,0.0234909808767101,None detected,85,52
4,9.1,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [HIGH] Assign dedicated onboarding support,0.0,26.0,0.9668780903665812,high_churn_probability: Model predicts high likelihood of churn; low_tenure: New or short-tenure customer,162,108
4,6.4,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,1.73,62.3,0.3299279944969474,low_tenure: New or short-tenure customer,61,124
2,9.2,No action needed,0.0,33.0,0.0228125299849682,None detected,92,90
3,9.5,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,2.57,76.7,0.0120324155422206,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,131,115
3,10.9,No action needed,0.0,44.0,0.0150626496089533,None detected,90,92
1,6.1,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,42.0,0.0129893241562534,low_tenure: New or short-tenure customer,75,125
1,9.5,No action needed,0.0,59.0,0.0268889722584914,None detected,78,115
4,7.1,No action needed,0.0,52.0,0.0332891432193325,None detected,82,96
1,9.1,No action needed,0.0,51.0,0.0216834416920539,None detected,163,109
3,11.2,No action needed,0.31,40.1,0.2847586078335005,None detected,91,112
5,5.3,No action needed,1.43,63.3,0.1560238439747661,None detected,75,97
3,12.0,No action needed,0.0,53.0,0.0206073755451146,None detected,91,106
1,11.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,3.02,72.2,0.0120162164546878,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,127,117
2,10.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,2.75,75.5,0.0118059604650869,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,113,101
1,12.4,No action needed,0.0,49.0,0.0271388700739889,None detected,110,115
0,10.5,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.84,81.4,0.0128149413325319,high_cost: High charges in MonthlyCharge,120,68
3,6.8,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,1.84,68.4,0.0112493288140717,high_cost: High charges in MonthlyCharge,157,107
1,11.7,No action needed,0.0,59.0,0.2185131876745822,None detected,103,47
2,14.1,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach,0.0,44.0,0.9288811860196314,high_churn_probability: Model predicts high likelihood of churn,117,86
3,14.3,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,54.0,0.0240990984440427,low_tenure: New or short-tenure customer,140,101
1,13.7,No action needed,0.0,43.0,0.019463980635709,None detected,127,91
1,11.7,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,0.26,67.6,0.3736238340749102,high_cost: High charges in MonthlyCharge,83,87
1,8.5,No action needed,0.0,50.0,0.0188329880067294,None detected,121,121
2,11.1,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,3.0,88.0,0.0072432943980308,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,145,97
1,10.6,No action needed,0.0,52.0,0.0173290437289672,None detected,113,99
1,10.1,No action needed,0.0,36.0,0.0451836248914164,None detected,117,119
1,7.5,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,46.0,0.0102674347444005,low_tenure: New or short-tenure customer,65,116
1,6.9,No action needed,0.0,60.0,0.1433440220925407,None detected,56,112
5,11.5,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,57.0,0.0863916216402191,low_tenure: New or short-tenure customer,96,115
0,9.8,No action needed,0.0,56.0,0.0220766724713135,None detected,151,116
0,15.8,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities,0.0,77.0,0.9771666666666664,high_churn_probability: Model predicts high likelihood of churn; high_cost: High charges in MonthlyCharge,83,120
0,13.7,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.7,85.0,0.0474388606971414,high_cost: High charges in MonthlyCharge,139,129
1,10.2,No action needed,0.0,54.0,0.025382135515655,None detected,6,117
1,9.6,No action needed,2.59,65.9,0.0330361538644244,None detected,115,124
0,7.1,No action needed,0.31,41.1,0.0133379194414707,None detected,87,97
0,12.0,No action needed,0.0,58.0,0.0175412678787676,None detected,141,110
3,10.5,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.84,81.4,0.0209252400885684,high_cost: High charges in MonthlyCharge,141,99
1,12.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,29.0,0.0172973972301331,low_tenure: New or short-tenure customer,62,103
1,6.1,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,48.0,0.0308872976975516,low_tenure: New or short-tenure customer,146,151
2,12.1,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.27,92.7,0.0134426815040249,high_cost: High charges in MonthlyCharge,92,92
1,7.5,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,2.03,67.3,0.0617188950338828,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,185,126
1,10.9,No action needed,0.39,59.9,0.0133983434535167,None detected,148,102
1,12.8,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.46,80.6,0.0299055101214643,high_cost: High charges in MonthlyCharge,94,124
0,6.3,No action needed,0.0,56.0,0.0672988671728045,None detected,32,87
1,13.2,No action needed,0.0,60.0,0.042811115453716,None detected,68,105
2,10.6,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.86,74.6,0.0225362601649463,high_cost: High charges in MonthlyCharge,64,91
3,10.5,No action needed,0.14,40.4,0.0138502849384362,None detected,25,87
1,14.1,No action needed,0.0,36.0,0.0592374713532633,None detected,65,87
0,6.1,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,50.0,0.0097946802169888,low_tenure: New or short-tenure customer,179,92
2,11.1,No action needed,0.0,58.0,0.0320214081149459,None detected,94,104
0,12.2,No action needed,0.0,42.0,0.0209498135374842,None detected,62,91
2,11.5,No action needed,0.0,54.0,0.0188887592418123,None detected,127,103
3,16.2,No action needed,0.23,48.3,0.012866940882278,None detected,116,93
3,0.0,No action needed,0.0,65.0,0.4237236773747208,None detected,70,122
4,9.5,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.57,77.7,0.1415864941871674,high_cost: High charges in MonthlyCharge,94,125
5,11.9,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [HIGH] Assign dedicated onboarding support,0.0,22.0,0.9685714285714286,high_churn_probability: Model predicts high likelihood of churn; low_tenure: New or short-tenure customer,126,94
2,9.9,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.67,66.7,0.0145201663191166,high_cost: High charges in MonthlyCharge,67,111
2,14.6,No action needed,0.14,55.4,0.015509968205039,None detected,19,98
3,8.4,No action needed,0.0,66.0,0.5396125948463468,None detected,170,68
1,10.8,No action needed,0.0,60.0,0.0731275443697715,None detected,73,145
1,10.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,33.0,0.0150701101148725,low_tenure: New or short-tenure customer,106,74
2,10.9,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,0.19,67.9,0.5971243796752418,high_cost: High charges in MonthlyCharge,93,71
1,9.0,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.27,44.7,0.01035238891432,low_tenure: New or short-tenure customer,164,111
1,9.1,No action needed,0.0,56.0,0.0198239438381756,None detected,51,109
0,8.9,No action needed,0.0,39.0,0.0245502647787413,None detected,107,85
1,9.5,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.35,41.5,0.0107231037392346,low_tenure: New or short-tenure customer,130,109
2,8.8,No action needed,0.0,53.0,0.0140317882846229,None detected,80,74
0,13.4,No action needed,0.22,43.2,0.0189305329797501,None detected,94,118
1,9.5,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.57,89.7,0.0103653296010335,high_cost: High charges in MonthlyCharge,118,52
1,6.8,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,1.84,67.4,0.0094468575390842,high_cost: High charges in MonthlyCharge,117,86
0,9.7,No action needed,0.0,41.0,0.0288863685695554,None detected,78,119
2,10.7,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,0.33,74.3,0.6504444444444444,high_cost: High charges in MonthlyCharge,208,67
4,13.8,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.73,104.3,0.4419230769230769,high_cost: High charges in MonthlyCharge,131,101
0,13.0,No action needed,0.0,30.0,0.0380914368376122,None detected,63,64
3,13.1,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.54,79.4,0.0819470544422965,high_cost: High charges in MonthlyCharge,53,146
2,11.2,No action needed,0.0,59.0,0.0470012745668908,None detected,62,101
3,6.4,No action needed,0.0,53.0,0.0103533316624615,None detected,97,86
2,6.8,No action needed,0.0,40.0,0.0111883930191333,None detected,105,109
1,9.4,No action needed,0.0,48.0,0.019013395696584,None detected,157,105
1,12.1,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.27,68.7,0.041992462881642,high_cost: High charges in MonthlyCharge,66,76
2,13.7,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,49.0,0.0209025969298636,low_tenure: New or short-tenure customer,122,98
3,10.8,No action needed,0.0,49.0,0.0101721396961609,None detected,38,94
3,12.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,50.0,0.0127398889075711,low_tenure: New or short-tenure customer,106,95
3,15.8,No action needed,0.0,58.0,0.0200241531613243,None detected,99,112
1,11.6,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,55.0,0.0423542725891057,low_tenure: New or short-tenure customer,99,72
0,11.9,No action needed,0.0,56.0,0.1727381907258744,None detected,144,100
1,10.7,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.89,76.9,0.0114205635929055,high_cost: High charges in MonthlyCharge,82,131
1,12.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,3.29,71.9,0.0265074162724738,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,86,139
